source_intersection,dest_intersection,intersection_topology,zone_type,time_of_day,day_of_week,weather_severity,road_friction,elevation_gradient,speed_limit,congestion_raw,traffic_volume_10hr,avg_speed_10hr,accident_occurred
2,18,T-Junction,Residential,Midday,Weekday,6.38,0.71,9.2,30,26.21,"[282, 252, 258, 214, 337, 392, 236, 267, 254, 237]","[22.8, 21.6, 21.3, 29.0, 24.4, 14.1, 29.2, 26.8, 33.7, 28.9]",0
49,4,T-Junction,Residential,Late_Night,Weekday,8.25,0.25,6.0,45,78.03,"[452, 377, 528, 537, 694, 599, 713, 467, 696, 672]","[41.0, 43.6, 37.2, 33.8, 27.3, 27.6, 18.6, 18.7, 14.6, 7.1]",1
34,43,Highway-Exit,Commercial,Evening_Rush,Weekend,0.0,0.74,-1.0,30,45.07,"[349, 261, 282, 173, 355, 188, 301, 200, 219, 289]","[32.1, 20.6, 32.5, 32.2, 22.3, 35.0, 19.7, 23.9, 29.4, 22.7]",0
6,12,4-Way,Residential,Midday,Weekday,3.68,0.91,-2.0,60,13.71,"[263, 262, 240, 291, 238, 261, 307, 289, 289, 192]","[56.6, 49.6, 47.6, 53.6, 49.5, 58.0, 58.1, 44.5, 49.9, 46.7]",0
29,21,T-Junction,Residential,Evening_Rush,Weekday,2.3,0.78,5.1,30,37.3,"[226, 272, 237, 220, 315, 134, 311, 222, 246, 223]","[34.7, 20.8, 27.1, 29.6, 18.9, 22.4, 26.3, 22.6, 22.9, 25.3]",0
23,6,Roundabout,Industrial,Morning_Rush,Weekend,2.85,0.82,9.9,45,25.65,"[282, 232, 303, 200, 187, 346, 217, 184, 162, 303]","[38.8, 39.2, 39.7, 45.6, 39.6, 52.2, 41.2, 45.8, 44.5, 40.3]",0
30,1,T-Junction,Industrial,Evening_Rush,Weekday,2.26,0.75,4.8,30,17.92,"[220, 266, 275, 221, 258, 311, 353, 292, 343, 218]","[30.5, 33.7, 22.5, 24.6, 35.7, 22.1, 20.3, 34.6, 33.0, 29.2]",0
13,13,Highway-Exit,Commercial,Evening_Rush,Weekday,5.77,0.39,10.9,45,84.82,"[595, 556, 628, 757, 623, 816, 510, 598, 562, 491]","[44.7, 41.8, 38.0, 37.3, 29.9, 27.3, 21.1, 20.4, 17.8, 10.1]",1
15,24,4-Way,Residential,Morning_Rush,Weekday,5.24,0.63,-4.6,75,55.48,"[200, 222, 264, 272, 284, 273, 250, 218, 270, 342]","[72.6, 70.2, 72.6, 65.6, 65.0, 63.8, 66.9, 65.4, 73.5, 65.1]",0
3,25,T-Junction,Commercial,Midday,Weekday,3.57,0.69,-4.1,45,56.82,"[209, 347, 227, 257, 272, 193, 311, 281, 327, 216]","[41.0, 40.7, 41.8, 33.2, 41.1, 33.4, 42.3, 29.9, 31.2, 44.6]",0
2,4,4-Way,Residential,Morning_Rush,Weekend,2.32,0.77,-5.9,60,51.49,"[222, 200, 313, 266, 293, 241, 383, 219, 337, 246]","[45.7, 56.4, 55.6, 48.7, 49.4, 53.9, 55.7, 41.6, 59.3, 51.5]",0
34,19,Highway-Exit,Commercial,Midday,Weekend,7.03,0.22,2.2,45,82.14,"[466, 694, 597, 721, 643, 599, 584, 648, 558, 514]","[46.2, 40.7, 37.1, 35.2, 28.8, 25.0, 19.8, 17.9, 13.7, 10.8]",1
8,11,Highway-Exit,Commercial,Evening_Rush,Weekend,6.64,0.0,0.9,60,100.0,"[542, 554, 679, 625, 509, 730, 430, 678, 473, 788]","[56.9, 57.0, 49.2, 43.3, 39.0, 34.6, 26.2, 21.0, 18.6, 8.6]",1
3,35,4-Way,Commercial,Midday,Weekday,1.4,0.76,-0.8,60,46.18,"[220, 402, 201, 307, 220, 275, 282, 306, 239, 349]","[51.1, 55.2, 55.2, 48.4, 52.6, 54.8, 51.8, 66.2, 49.8, 59.9]",0
18,30,Roundabout,Residential,Morning_Rush,Weekday,4.16,0.71,4.0,30,42.68,"[292, 249, 206, 211, 224, 160, 199, 175, 317, 280]","[30.9, 29.9, 27.8, 34.3, 23.9, 27.5, 30.7, 20.4, 42.5, 27.1]",0
23,16,T-Junction,Commercial,Midday,Weekend,3.92,0.66,6.2,60,27.77,"[257, 312, 295, 251, 256, 174, 222, 275, 272, 311]","[53.4, 47.1, 59.3, 61.2, 58.5, 53.2, 59.2, 71.1, 54.6, 47.4]",0
10,15,T-Junction,Residential,Morning_Rush,Weekday,6.08,0.85,-7.6,45,30.06,"[220, 281, 169, 258, 269, 326, 315, 293, 141, 296]","[44.0, 41.8, 31.8, 36.6, 34.7, 30.4, 40.5, 36.5, 53.6, 39.7]",0
14,9,Roundabout,Commercial,Midday,Weekday,5.51,0.94,-3.0,75,41.48,"[314, 171, 223, 254, 204, 228, 239, 238, 342, 268]","[69.9, 70.2, 70.6, 67.1, 65.9, 68.3, 73.3, 73.1, 66.3, 71.3]",0
35,34,4-Way,Commercial,Midday,Weekday,1.63,0.93,4.1,45,88.8,"[240, 251, 226, 240, 317, 254, 256, 177, 234, 237]","[36.4, 40.6, 38.4, 40.9, 41.1, 35.7, 38.5, 40.9, 46.4, 41.8]",0
30,32,Roundabout,Residential,Evening_Rush,Weekday,4.64,0.87,-2.3,75,46.02,"[216, 269, 335, 295, 277, 286, 321, 303, 278, 303]","[62.1, 60.0, 68.3, 67.8, 64.8, 71.6, 58.2, 64.8, 65.1, 59.3]",0
7,37,Highway-Exit,Commercial,Midday,Weekday,1.1,0.86,-4.0,60,27.78,"[324, 182, 220, 295, 282, 194, 284, 264, 366, 270]","[53.3, 49.7, 50.3, 49.9, 60.9, 54.1, 56.8, 61.6, 42.2, 60.4]",0
1,34,Roundabout,Commercial,Midday,Weekend,4.39,0.97,5.1,30,23.35,"[252, 271, 208, 212, 274, 369, 300, 313, 240, 219]","[23.1, 24.6, 16.7, 23.4, 24.2, 26.1, 27.7, 28.8, 26.9, 24.1]",0
49,26,Highway-Exit,Residential,Late_Night,Weekend,1.97,0.83,-6.4,60,30.16,"[151, 221, 201, 273, 295, 296, 287, 243, 223, 212]","[46.5, 59.0, 53.1, 47.8, 49.9, 49.7, 54.2, 59.3, 52.3, 42.7]",0
2,6,4-Way,Commercial,Evening_Rush,Weekday,0.95,0.86,-1.5,60,83.55,"[240, 242, 238, 218, 260, 253, 248, 270, 228, 225]","[60.9, 56.8, 58.1, 60.1, 56.6, 58.6, 46.1, 55.0, 53.1, 62.4]",0
2,26,T-Junction,Commercial,Late_Night,Weekday,3.56,0.77,1.6,75,32.01,"[296, 218, 268, 258, 272, 199, 268, 238, 264, 213]","[64.6, 73.4, 62.2, 62.6, 67.2, 63.6, 63.1, 68.0, 60.0, 62.5]",0
20,40,T-Junction,Commercial,Late_Night,Weekday,10.0,0.29,-2.9,45,86.03,"[805, 645, 525, 641, 656, 699, 587, 697, 396, 494]","[45.3, 41.7, 35.2, 33.5, 27.8, 24.4, 23.0, 18.8, 11.0, 6.9]",1
11,11,Roundabout,Industrial,Midday,Weekend,0.0,0.73,3.9,30,32.48,"[229, 248, 217, 302, 267, 270, 186, 308, 108, 291]","[31.7, 24.8, 33.4, 26.7, 27.3, 28.7, 42.9, 33.7, 30.5, 22.4]",0
13,45,Highway-Exit,Residential,Morning_Rush,Weekday,2.65,0.8,-2.8,30,45.22,"[257, 209, 291, 257, 193, 254, 207, 257, 207, 251]","[30.8, 26.7, 25.0, 28.0, 30.5, 21.5, 28.3, 33.6, 29.9, 27.3]",0
22,32,T-Junction,Residential,Evening_Rush,Weekend,3.16,0.81,7.0,30,55.83,"[281, 272, 287, 148, 172, 300, 174, 270, 232, 200]","[28.7, 28.0, 37.6, 23.9, 34.2, 28.8, 23.7, 31.0, 29.8, 27.2]",0
12,12,Roundabout,Residential,Morning_Rush,Weekday,2.26,0.99,-0.6,30,28.56,"[263, 220, 208, 287, 238, 245, 263, 263, 178, 314]","[27.6, 26.0, 29.2, 28.2, 30.8, 29.7, 30.6, 33.8, 31.4, 26.2]",0
15,1,4-Way,Commercial,Midday,Weekday,0.0,0.81,3.4,45,27.18,"[193, 333, 238, 226, 163, 266, 257, 174, 272, 225]","[54.0, 37.7, 38.3, 36.1, 46.9, 38.6, 36.9, 44.0, 33.6, 43.6]",0
16,2,Roundabout,Commercial,Midday,Weekday,1.36,0.92,3.7,30,73.18,"[339, 278, 281, 293, 335, 310, 271, 295, 205, 288]","[22.0, 25.2, 11.6, 29.0, 23.8, 32.6, 29.0, 32.6, 21.6, 32.2]",0
